Brand=["Mekhala"],Reporting Range=["Monthly"],Select year=["2023"],Select month=["September"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"curry paste cube","702","5","95","1","1.05","1","20.0","1","100.0","6.49","6.49","0","1","0","1","20.0","1","100.0","6.49","6.49","0","1","0","1","20.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"lamb vindaloo sauce","609","5","254","4","1.57","3","60.0","1","33.33","9.0","7.89","0","1","1","1","20.0","1","100.0","7.89","7.89","0","1","0","1","20.0","1","100.0","7.89","7.89","0","1","0","2023-09-30"
"paste tom yum","483","8","240","22","9.17","3","37.5","2","66.67","7.99","7.99","0","3","0","2","25.0","1","50.0","7.99","7.99","0","2","0","1","12.5","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"turmeric lemongrass paste","293","13","236","22","9.32","7","53.85","3","42.86","6.49","7.89","0","2","3","3","23.08","3","100.0","7.89","7.89","0","2","1","1","7.69","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"chickpeas, canned organic","415","5325","112189","184","0.16","3615","67.89","1","0.03","1.49","6.49","15","99","104","3179","59.7","1","0.03","1.49","6.49","11","50","40","1795","33.71","1","0.06","1.49","6.49","6","21","13","2023-09-30"
"maya kaimal","402","5993","141788","650","0.46","3175","52.98","9","0.28","5.79","6.49","34","374","317","1752","29.23","1","0.06","5.39","7.29","13","105","108","673","11.23","0","0.0","5.49",,"7","47","48","2023-09-30"
"tom yum paste","7","4402","103615","8148","7.86","2353","53.45","518","22.01","7.99","7.39","113","991","832","1094","24.85","295","26.97","7.99","7.99","54","489","356","409","9.29","100","24.45","7.99","7.99","22","186","132","2023-09-30"
"brooklyn delhi","727","2412","52311","423","0.81","1190","49.34","6","0.5","7.79","7.39","6","73","125","681","28.23","1","0.15","7.49","6.49","5","44","53","233","9.66","0","0.0","7.79",,"1","5","13","2023-09-30"
"chili garlic sauce","990","35751","848451","324","0.04","11291","31.58","1","0.01","13.39","7.29","321","2535","2210","3333","9.32","0","0.0","11.99",,"135","1017","803","1368","3.83","0","0.0","12.91",,"60","484","341","2023-09-30"
"pho noodles","478","10094","223007","65","0.03","4060","40.22","1","0.02","12.0","7.39","117","1207","1469","1543","15.29","1","0.06","11.8","7.39","45","458","509","473","4.69","1","0.21","11.99","7.39","19","153","159","2023-09-30"
"ground ginger","865","9649","261354","458","0.18","5704","59.11","1","0.02","4.79","6.49","490","1900","1301","4598","47.65","0","0.0","4.53",,"418","1502","987","2067","21.42","0","0.0","4.53",,"203","712","424","2023-09-30"
"thai red curry paste vegan","211","37","918","55","5.99","18","48.65","3","16.67","6.49","6.49","2","9","3","9","24.32","3","33.33","6.49","6.49","1","4","1","3","8.11","2","66.67","6.49","6.49","0","1","0","2023-09-30"
"red curry paste vegan","328","48","1005","66","6.57","31","64.58","4","12.9","8.95","7.29","1","8","11","10","20.83","2","20.0","7.29","7.29","0","1","3","5","10.42","1","20.0","7.29","7.29","0","1","1","2023-09-30"
"sambal","23","15956","379349","13806","3.64","3464","21.71","98","2.83","9.99","7.89","175","846","721","1191","7.46","32","2.69","8.36","7.89","78","359","267","488","3.06","8","1.64","8.39","7.89","37","164","100","2023-09-30"
"mara sauce","362","195","4574","149","3.26","75","38.46","5","6.67","12.41","7.99","3","12","21","26","13.33","4","15.38","9.99","7.99","0","7","7","6","3.08","0","0.0","9.99",,"0","1","2","2023-09-30"
"chinese ginger scallion sauce","692","3","47","1","2.13","1","33.33","1","100.0","7.99","7.99","0","0","1","1","33.33","1","100.0","7.99","7.99","0","0","1","1","33.33","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"mekala yellow curry paste","368","8","193","19","9.84","4","50.0","3","75.0","19.58","19.58","0","1","2","2","25.0","2","100.0","7.29","7.29","0","1","1","1","12.5","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"vegan curry paste","811","132","3442","233","6.77","55","41.67","3","5.45","11.93","7.29","1","18","15","22","16.67","1","4.55","11.93","7.29","1","9","6","7","5.3","0","0.0","11.93",,"0","4","1","2023-09-30"
"lemngrass and turmeric paste","626","1","19","4","21.05","1","100.0","1","100.0","7.29","7.29","0","1","0","1","100.0","1","100.0","7.29","7.29","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"schezwan paste","536","25","477","28","5.87","4","16.0","1","25.0","7.99","7.99","0","2","2","4","16.0","1","25.0","7.99","7.99","0","2","2","1","4.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"mekala curry","467","3","57","38","66.67","2","66.67","2","100.0","7.99","7.99","0","0","2","1","33.33","1","100.0","37.99","37.99","0","0","1","1","33.33","1","100.0","37.99","37.99","0","0","1","2023-09-30"
"tom yum soup organic","704","1","60","1","1.67","1","100.0","1","100.0","6.49","6.49","1","0","0","1","100.0","1","100.0","6.49","6.49","1","0","0","1","100.0","1","100.0","7.99","7.99","1","0","0","2023-09-30"
"haidilao mala sauce","947","121","2305","104","4.51","66","54.55","1","1.52","19.99","7.99","2","3","7","20","16.53","1","5.0","17.99","7.99","0","1","4","5","4.13","0","0.0","17.99",,"0","0","1","2023-09-30"
"dried fish","533","4582","112551","30","0.03","1646","35.92","1","0.06","13.99","6.49","65","392","437","303","6.61","1","0.33","14.02","6.49","3","63","91","88","1.92","1","1.14","13.25","6.49","1","25","24","2023-09-30"
"lemon grass paste in tube","628","53","1521","83","5.46","24","45.28","4","16.67","14.95","6.49","1","6","12","10","18.87","3","30.0","14.95","6.49","1","3","3","2","3.77","0","0.0","14.95",,"0","0","1","2023-09-30"
"gingery miso sauce","770","137","2800","73","2.61","44","32.12","3","6.82","7.69","7.99","1","5","10","22","16.06","2","9.09","6.47","7.99","0","2","4","7","5.11","0","0.0","7.29",,"0","0","1","2023-09-30"
"lemongrass marinade","894","103","2293","124","5.41","53","51.46","2","3.77","17.49","6.49","2","11","22","16","15.53","1","6.25","14.49","6.49","1","1","8","3","2.91","0","0.0","17.99",,"0","0","1","2023-09-30"
"tamarind","345","13731","328186","1055","0.32","4931","35.91","2","0.04","9.99","6.49","145","1616","1611","1871","13.63","1","0.05","8.25","6.49","64","619","568","665","4.84","0","0.0","8.25",,"24","251","187","2023-09-30"
"thai curry green","377","40","936","30","3.21","20","50.0","2","10.0","6.5","6.49","0","9","3","10","25.0","2","20.0","6.29","6.49","0","4","1","3","7.5","1","33.33","3.99","7.99","0","2","1","2023-09-30"
"brooklyn delhi tikka masala","492","73","1780","53","2.98","39","53.42","1","2.56","12.27","7.89","3","14","8","25","34.25","1","4.0","7.99","7.89","3","6","5","15","20.55","1","6.67","7.99","7.89","2","2","2","2023-09-30"
"red thai curry paste","12","1193","28284","1142","4.04","627","52.56","99","15.79","6.25","6.49","35","158","126","448","37.55","85","18.97","5.49","6.49","28","118","79","212","17.77","40","18.87","5.49","6.49","13","60","42","2023-09-30"
